Title,Link,posturl,Date,Claim,Label,Image
Jennifer Lopez wore sacred sword during Riyadh Season?,https://www.sochfactcheck.com/category/culture/,https://www.sochfactcheck.com/image-of-soldier-pointing-gun-at-pti-protesters-is-ai-generated/,2024-11-29 00:00:00,"Claim: Pictures show Jennifer Lopez wearing a sacred sword during a performance at Riyadh Season 2024.   Fact: The pictures do not show Jennifer Lopez at Riyadh Season 2024. They show Palestinian-Chilean singer Elyanna performing at a concert in New York.   On 15 and 16 November 2024, a number of users on Facebook, Instagram, and X (formerly Twitter) posted photos of a singer wearing a double-headed sword around her waist on stage. They claimed that the singer was Jennifer Lopez performing at the recent Riyadh Season festival and the sword resembles that of Ali Ibn Abi Talib.   Jennifer […]",False,https://www.sochfactcheck.com/wp-content/uploads/2024/11/middleeasteye.jpg
Video does not show child trapped under rubble in Gaza,https://www.sochfactcheck.com/category/world/,https://www.sochfactcheck.com/image-of-soldier-pointing-gun-at-pti-protesters-is-ai-generated/,2024-11-29 00:00:00,"Claim: A video shows a Palestinian child trapped under rubble after Israel’s attack.  Fact: The claim is misleading as the video is from Syria, not Palestine. It actually shows a child playing in her home, peeking through a hole in the wall and not stuck under the rubble. On 26 October 2024, an X (formerly Twitter) account posted a video (archive) with the caption: ملبے تلے دبا فلسطینی بچہ امداد کا منتظر ہے کیسا دلخراش منظر ہے، مگر عالمی برادری اس پر خاموش ہے Translated: [A Palestinian child buried under the rubble is waiting for help. What a heartbreaking scene, […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/11/Child-under-rubber.png
Did a woman shout at Nawaz Sharif and Maryam Nawaz in Switzerland?,https://www.sochfactcheck.com/category/pakistan/,https://www.sochfactcheck.com/image-of-soldier-pointing-gun-at-pti-protesters-is-ai-generated/,2024-11-29 00:00:00,"Claim: A video shows a woman yelling at Nawaz Sharif and Maryam Nawaz in Switzerland.   Fact: The woman’s voice was superimposed onto the footage and the audio is not original. In fact, in the original video, we can hear the pedestrians praising the Sharifs.   On 9 November 2024, a video of Nawaz Sharif and Maryam Nawaz being shouted at by a woman in Switzerland was shared on X (formerly Twitter). The Sharifs, along with their associates, turn a street corner and head into a car, while the woman, who is allegedly recording the video, heckles them. Between 0:15–0:18, […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/11/dailypakistan.jpg
Video of crowd celebrating at night is not from Islamabad,https://www.sochfactcheck.com/category/pakistan/,https://www.sochfactcheck.com/image-of-soldier-pointing-gun-at-pti-protesters-is-ai-generated/,2024-11-29 00:00:00,"Claim: Video shows Pakistan Tehreek Insaf’s (PTI) protesters celebrating after they reached Islamabad. Fact:  The video is from Libya and shows crowds of people gathered in a desert at a car rally. On 25 November, an X user posted a video (archive) allegedly showing PTI supporters celebrating after they reached Islamabad amid strict lockdown by the authorities. The caption, when translated from Urdu [via Google Translate], said: “You may not have seen a more beautiful scene in your life. Greetings, PTI workers reached Islamabad despite fascism.” PTI’s Islamabad protests Thousands of Imran Khan’s supporters marched to Islamabad on 24 November […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/11/cover-final-for-PTI-night-rally.png
Viral video does not show toddler killed in Parachinar,https://www.sochfactcheck.com/category/conflict/,https://www.sochfactcheck.com/image-of-soldier-pointing-gun-at-pti-protesters-is-ai-generated/,2024-12-10 00:00:00,"Claim: A widely shared video shows a young victim of the recent violence in Parachinar in the Kurram District. Fact: While the violence in Kurram, which began on 21 November 2024, has claimed over 80 lives—including women and children—and injured more than 100, this specific video is not from Pakistan and predates the recent episode of sectarian violence in Parachinar.  On 22 November, X user @RiazToori shared a video (archive) of a toddler, writing, “The smallest coffin is indeed the heaviest. One of the infants who was brutally killed in the attack on the convoy of #Parachinar.” The video has […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/12/Baby.jpg
Maulana did not urge his party workers to support PTI’s rally in October 2024,https://www.sochfactcheck.com/category/pakistan/,https://www.sochfactcheck.com/image-of-soldier-pointing-gun-at-pti-protesters-is-ai-generated/,2024-12-10 00:00:00,"Claim: Video shows Maulana Fazl ur Rehman, chief of Jamiat Ulema-i-Islam Fazl (JUI-F), urging his party members to reach Islamabad and support Pakistan Tehreek Insaf’s protestors in October 2024. Fact: The video of Rehman is from a press conference held in March 2022 and has no connection to either of PTI’s major rallies from October and November 2024. On 7 October, a Facebook user posted a video (archive) showing a video of Maulana Fazl ur Rehman, a National Assembly member and leader of Jamiat Ulema-i-Islam Fazl (JUI-F), apparently speaking in support of Pakistan Tehreek-i-Insaf’s rally in October. In the video […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/12/Maulana-cover-final.png
UNRWA teacher was not among the bodyguards killed alongside Yahya Sinwar.,https://www.sochfactcheck.com/category/uncategorised/,https://www.sochfactcheck.com/image-of-soldier-pointing-gun-at-pti-protesters-is-ai-generated/,2024-12-10 00:00:00,"Claim: The ID of a UNRWA teacher, Hani S. Zourob, was found on Yahya Sinwar at the time of his death and belonged to one of the two bodyguards killed along with the Hamas leader on 17 October. Fact: The ID card of Sinwar’s alleged bodyguard is actually an expired passport belonging to a UNRWA worker who evacuated to Egypt in April. The staff member in question is still alive, as confirmed by Commissioner General of UNRWA Philippe Lazzarini.   On 17 October 2024, a user on X (formerly Twitter) posted an image (archive) of a passport that belonged to a […]",True,https://www.sochfactcheck.com/wp-content/uploads/2024/12/UNRWA.jpg
"Visual of PTI protestor apparently praying on container is real, not AI-generated",https://www.sochfactcheck.com/category/pakistan/,https://www.sochfactcheck.com/image-of-soldier-pointing-gun-at-pti-protesters-is-ai-generated/,2024-12-16 00:00:00,"Claim: A picture showing a protester who was allegedly pushed off a stack of containers while reportedly praying during the PTI’s November protests is AI-generated. Fact: The picture is real and was not generated using AI. The authentic image, as well as another photo taken shortly afterwards of the protester trying to hang on before he was allegedly pushed off the containers, also corroborates the incident. On 28 November 2024, multiple Facebook users claimed that the picture of a man who was apparently pushed off a stack of shipping containers while kneeling — allegedly offering prayers — during the Pakistan […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/12/PTI_praying_protester_AI_main.jpg
Majority of disabled children in UK born to Muslim parents?,https://www.sochfactcheck.com/category/culture/,https://www.sochfactcheck.com/image-of-soldier-pointing-gun-at-pti-protesters-is-ai-generated/,2024-12-16 00:00:00,"Claim: 50% of Muslims and 70% of Pakistanis in the UK are inbred, and the majority of disabled children in the UK are born to Muslim parents.   Fact: There is no publicly available data on the proportion of Muslims and Pakistanis that are “inbred” or were a result of a consanguineous marriage. Data on consanguineous marriages in the UK does exist, but it only speaks for the British Pakistani communities in Birmingham and Bradford, not in all of the UK.    With reference to the rates of ”inbreeding”, Soch Fact Check reached out to the UK’s Office of National […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/12/UK-born.jpg
Did PTI supporters swim across a river to reach Islamabad on 24 November?,https://www.sochfactcheck.com/category/pakistan/,https://www.sochfactcheck.com/image-of-soldier-pointing-gun-at-pti-protesters-is-ai-generated/,2024-12-16 00:00:00,"Claim: A video shows PTI protesters swimming across a river to reach Islamabad amid road blockades.   Fact: The video was first shared online on 1 September 2023, disproving the claim that PTI protesters swam across a river to attend the 24 November 2024 protest at D-Chowk. On 25 November, the Instagram account Dialogue Pakistan, which describes itself as a citizen journalism portal promoting ethical reporting, shared a video of PTI protesters swimming across a river, some of whom carried party flags. The caption read: “ISLAMABAD: In an effort to reach Islamabad for a planned protest, workers of Pakistan Tehreek-e-Insaf (PTI) […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/12/Pti-flag.jpg
Video showing Matiullah Jan’s expulsion from PMA debunked,https://www.sochfactcheck.com/category/pakistan/,https://www.sochfactcheck.com/image-of-soldier-pointing-gun-at-pti-protesters-is-ai-generated/,2024-12-16 00:00:00,"Claim: A video shows journalist Matiullah Jan in an army cadet’s uniform being stripped of his rank and discharged from the Pakistan Military Academy (PMA) due to poor character. Fact: The video does not show Matiullah Jan’s expulsion from the PMA. It is actually a digitally manipulated clip from Hum TV’s drama serial ‘Ehd-e-Wafa,’ with Jan’s face superimposed on the actor’s. On 28 November, X user @ImrankhanISP1 shared a video (archive) on X, writing, “مطیع اللہ جان اپنے گندے کاموں کا خمیازہ پہلے بھی بھگت چکا ہے  مطیع اللہ جان کو پی ایم اے سے گندے کردار کی وجہ سے […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/12/Untitled-design-1.png
Image does not show mourners carrying coffins of people killed in Parachinar in November,https://www.sochfactcheck.com/category/conflict/,https://www.sochfactcheck.com/image-of-soldier-pointing-gun-at-pti-protesters-is-ai-generated/,2024-12-17 00:00:00,"Claim: An image shows a funeral procession of people killed in the Parachinar attacks in November 2024. Fact: The image is from December 2009 and shows Shia Muslims carrying mock coffins during a mourning procession observed during the Islamic month of Muharram. On 22 November, the National Commission for Human Rights, a federal statutory body, posted a picture (archive) on X apparently showing a mourning procession carrying the coffins of those killed in Parachinar in November. The caption reads, “NCHR condemns in the strongest terms the brutal attack on passengers at #Parachinar. Deepest condolences & prayers to the families. Extremism […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/12/Para-cover-final-final.png
Nawaz Sharif’s remarks about Khawaja Asif misrepresented in viral video,https://www.sochfactcheck.com/category/pakistan/,https://www.sochfactcheck.com/image-of-soldier-pointing-gun-at-pti-protesters-is-ai-generated/,2024-12-17 00:00:00,"Claim: A video shows Nawaz Sharif belittling Khawaja Asif during a press conference. Fact: Nawaz Sharif did not mock Khawaja Asif or the recent attempt of an attack on him. The posts show only a part of his statement from a longer recording of a press conference, and share it in a false context. In the complete statement, Sharif, in fact, condemned the harassment of Khawaja Asif and other Pakistani officials in Britain. X user @OfficialShehr shared a video (archive) of Nawaz Sharif, Khawaja Asif, and Maryam Nawaz during a press conference, writing, “جس طرح سے اپ کے ساتھ ہوا […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/12/Nawaz.jpg
Did Donald Trump pledge support for Imran Khan against PDM?,https://www.sochfactcheck.com/category/pakistan/,https://www.sochfactcheck.com/image-of-soldier-pointing-gun-at-pti-protesters-is-ai-generated/,2024-12-17 00:00:00,"Claim: A video circulating online shows US President Donald Trump speaking in Urdu, pledging to act against the Pakistan Democratic Movement. Fact: The video is doctored. Deepware and audio analyses revealed manipulated audio frequencies and deepfake characteristics. Following Trump’s victory in the 2024 US Presidential election, X user @Tabii_DxB shared a clip (archive) of Trump speaking in Urdu, with the caption: “ڈونلڈ ٹرمپ کا پیغام پھیلا دیں سب جگہ” [Translated from Urdu: Spread Donald Trump’s message everywhere] In the video, Donald Trump says, “Imran Khan meri jaan, apun election jeet gaya hai. Ab dekhna apun PDM walon ke saath karta […]",False,https://www.sochfactcheck.com/wp-content/uploads/2024/12/lailluminator.jpg
Image of man holding dead body of toddler is not linked to sectarian violence in Parachinar,https://www.sochfactcheck.com/category/conflict/,https://www.sochfactcheck.com/image-of-soldier-pointing-gun-at-pti-protesters-is-ai-generated/,2024-12-17 00:00:00,"Claim: An image shows a child who was killed in recent deadly incidents of sectarian violence in Kurram, Khyber Pakhtunkhwa. Fact: The picture has no connection to sectarian violence in Kurram which erupted in November 2024. The image is from November 2016 when the US and Afghan forces carried out an operation against the Taliban’s commanders in the Kunduz province of Afghanistan. On 24 November, an X user posted a photo (archive) allegedly showing an old man holding up a dead body of a toddler killed in the recent deadly sectarian violence in Kurram, Khyber Pakhtunkhwa.  The caption reads [translated […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/12/Kurram-cover-photo.png
Image of soldier pointing gun at PTI protesters is AI-generated,https://www.sochfactcheck.com/category/pakistan/,https://www.sochfactcheck.com/image-of-soldier-pointing-gun-at-pti-protesters-is-ai-generated/,2024-12-18 00:00:00,"Claim: An image shows an army soldier pointing a gun towards protesters during a demonstration held by Pakistan Tehreek-e-Insaf (PTI) in November 2024. Fact: The image appears to be AI-generated. On 30 November, a Threads user posted a photo (archive) apparently showing a Pakistani soldier pointing a gun towards the protesters. The description reads: “Our own people killed us. Napak (impure) Army killing the innocents.” The image also depicts dead bodies scattered on the road.  The caption suggests that the image depicts the clashes between PTI supporters and security forces on 26 November, when the army was called in to […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/12/PTI-protest-cover-final.png
Did Fauji Foods lose two billion rupees after recent boycott?,https://www.sochfactcheck.com/category/economy/,https://www.sochfactcheck.com/image-of-soldier-pointing-gun-at-pti-protesters-is-ai-generated/,2024-12-18 00:00:00,"Claim 1: Fauji Foods has reported a 73% loss of 2.16 billion rupees.   Claim 2: The sales of Nurpur butter have dropped by 85%.   Fact 1: The 73% loss of 2.16 billion reported by Fauji Foods is from 2022. While stock prices for Fauji companies did drop on 6 December 2024, they have since risen.   Fact 2: There is no evidence that sales of Nurpur butter dropped by 85%.   On 8 December 2024, a post on Facebook included a picture of Fauji Foods’ products with the following caption in English:   “Fauji Foods Reported 73% Loss […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/12/Fauji-foods.jpg
Old video of doctor resurfaces amid PTI protests,https://www.sochfactcheck.com/category/pakistan/,https://www.sochfactcheck.com/image-of-soldier-pointing-gun-at-pti-protesters-is-ai-generated/,2024-12-18 00:00:00,"Claim: A doctor displayed anger and frustration at the government after witnessing casualties from the recent PTI protest at D-Chowk. Fact: The video is from 2021 and shows the doctor criticising Imran Khan and the PTI government at the time following a TLP protest.It is not related to the recent PTI protest at D-Chowk. On 27 November, X user @SyedHiDr7 shared a video (archive) on X, writing, “حکومت کا نہتے کارکنان پر بدترین ظلم دیکھ کر ایک ڈاکٹر بھی چیخ اُٹھا 📢 ’ وَاللَّهُ لَا يُحِبُّ الظَّالِمِينَ ‘‘ اور اللہ ظالموں کو پسند نہیں کرتا ہے۔(آل عمران:57 #DChowk #ImranKhanFinalCall #Islamabad_D_Chowk  […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/12/Angry-doctor-cover.png
Aseefa Bhutto voiced support for Imran Khan?,https://www.sochfactcheck.com/category/pakistan/,https://www.sochfactcheck.com/image-of-soldier-pointing-gun-at-pti-protesters-is-ai-generated/,2024-12-18 00:00:00,"Claim: Aseefa Bhutto Zardari said that Imran Khan’s life is in danger, and he should be provided with proper medical care.   Fact: Aseefa Bhutto Zardari did not say Imran Khan’s life is in danger, nor did she say that medical care should be provided to Khan.   On 28 November 2024, a Facebook post claimed that Aseefa Bhutto had voiced her support for former Prime Minister Imran Khan. The post came with the following caption in Urdu:   “:آصفہ بھٹونے عمران خان کے حق کیلئے آواز اٹھادی”   The caption also displays a link to an article by AZAAD […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/12/aseefa-n-immy.jpeg
Lahore smog decreases 7 years of an individual’s life in 1 year?,https://www.sochfactcheck.com/category/environment/,https://www.sochfactcheck.com/image-of-soldier-pointing-gun-at-pti-protesters-is-ai-generated/,2024-12-18 00:00:00,"Claim: Several popular social media pages shared variations of the claim that said, according to a US study, “You will die seven years earlier if you live In Lahore for one year”.  The study referenced is the Air Quality Life Index’s (AQLI) fact sheet for Pakistan, which was published in 2023 and developed by the University of Chicago. Though the posts make it seem that the study is recent, it is actually based on the AQLI 2021 dataset. Therefore, its conclusions do not apply to 2024 when Lahore witnessed unprecedented levels of smog.  Further, the study does not state that […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/12/Lahore-Smog-cover.jpg
